millis,Date,Time,Sensor1,Sensor2,Sensor3,,,,,,
1001,1465889068, 7:24:28,63,724,721,751,1.23,-28.68,-28.82,-27.36, 
2002,1465889069, 7:24:29,15,722,720,731,0.29,-28.77,-28.87,-28.33, 
3002,1465889070, 7:24:30,15,718,720,727,0.29,-28.97,-28.87,-28.53, 
4002,1465889071, 7:24:31,4,735,800,735,0.08,-28.14,-24.96,-28.14, 
5002,1465889072, 7:24:32,0,705,735,808,0,-29.61,-28.14,-24.57, 
6002,1465889073, 7:24:33,8,751,776,711,0.16,-27.36,-26.13,-29.31, 
7002,1465889074, 7:24:34,48,719,694,707,0.94,-28.92,-30.14,-29.51, 
8002,1465889075, 7:24:35,7,755,732,743,0.14,-27.16,-28.29,-27.75, 
9003,1465889076, 7:24:36,31,735,751,735,0.61,-28.14,-27.36,-28.14, 
10003,1465889077, 7:24:37,0,832,732,736,0,-23.4,-28.29,-28.09, 
11003,1465889078, 7:24:38,0,751,832,735,0,-27.36,-23.4,-28.14, 
12003,1465889079, 7:24:39,31,727,751,725,0.61,-28.53,-27.36,-28.63, 
13003,1465889080, 7:24:40,1,735,820,743,0.02,-28.14,-23.98,-27.75, 
14004,1465889081, 7:24:41,0,897,863,840,0,-20.22,-21.88,-23.01, 
15004,1465889082, 7:24:42,0,803,783,752,0,-24.82,-25.79,-27.31, 
16004,1465889083, 7:24:43,8,758,831,803,0.16,-27.01,-23.45,-24.82, 
17004,1465889084, 7:24:44,8,791,864,754,0.16,-25.4,-21.83,-27.21, 
18004,1465889085, 7:24:45,31,759,768,750,0.61,-26.97,-26.53,-27.41, 
19004,1465889086, 7:24:46,0,752,767,848,0,-27.31,-26.57,-22.62, 
20004,1465889087, 7:24:47,31,760,751,775,0.61,-26.92,-27.36,-26.18, 
21004,1465889088, 7:24:48,0,831,800,768,0,-23.45,-24.96,-26.53, 
22004,1465889089, 7:24:49,8,771,767,836,0.16,-26.38,-26.57,-23.2, 
23005,1465889090, 7:24:50,6,768,767,848,0.12,-26.53,-26.57,-22.62, 
24005,1465889091, 7:24:51,0,744,747,799,0,-27.7,-27.55,-25.01, 
25005,1465889092, 7:24:52,16,767,832,752,0.31,-26.57,-23.4,-27.31, 
26005,1465889093, 7:24:53,4,751,767,848,0.08,-27.36,-26.57,-22.62, 
27006,1465889094, 7:24:54,0,781,751,747,0,-25.89,-27.36,-27.55, 
28006,1465889095, 7:24:55,31,737,751,744,0.61,-28.04,-27.36,-27.7, 
29006,1465889096, 7:24:56,8,726,807,800,0.16,-28.58,-24.62,-24.96, 
30006,1465889097, 7:24:57,0,768,751,732,0,-26.53,-27.36,-28.29, 
31006,1465889098, 7:24:58,15,731,728,743,0.29,-28.33,-28.48,-27.75, 
32006,1465889099, 7:24:59,16,716,727,767,0.31,-29.07,-28.53,-26.57, 
33006,1465889100, 7:25:0,8,735,767,808,0.16,-28.14,-26.57,-24.57, 
34006,1465889101, 7:25:1,8,759,832,724,0.16,-26.97,-23.4,-28.68, 
35006,1465889102, 7:25:2,8,710,783,768,0.16,-29.36,-25.79,-26.53, 
36006,1465889103, 7:25:3,3,715,731,767,0.06,-29.12,-28.33,-26.57, 
37007,1465889104, 7:25:4,4,719,735,792,0.08,-28.92,-28.14,-25.35, 
38007,1465889105, 7:25:5,0,792,735,703,0,-25.35,-28.14,-29.7, 
39007,1465889106, 7:25:6,8,719,743,776,0.16,-28.92,-27.75,-26.13, 
40007,1465889107, 7:25:7,8,719,681,767,0.16,-28.92,-30.78,-26.57, 
41007,1465889108, 7:25:8,0,751,768,704,0,-27.36,-26.53,-29.65, 
42007,1465889109, 7:25:9,0,784,695,696,0,-25.74,-30.09,-30.04, 
43008,1465889110, 7:25:10,0,766,719,717,0,-26.62,-28.92,-29.02, 
44008,1465889111, 7:25:11,0,723,691,688,0,-28.73,-30.29,-30.44, 
45008,1465889112, 7:25:12,0,768,672,695,0,-26.53,-31.22,-30.09, 
46008,1465889113, 7:25:13,0,756,703,676,0,-27.11,-29.7,-31.02, 
47009,1465889114, 7:25:14,8,703,744,679,0.16,-29.7,-27.7,-30.88, 
48008,1465889115, 7:25:15,15,668,659,683,0.29,-31.41,-31.85,-30.68, 
49009,1465889116, 7:25:16,0,657,671,693,0,-31.95,-31.27,-30.19, 
50008,1465889117, 7:25:17,50,670,650,667,0.98,-31.32,31.77,-31.46, 
51008,1465889118, 7:25:18,0,736,671,644,0,-28.09,-31.27,31.48, 
52008,1465889119, 7:25:19,0,720,645,667,0,-28.87,31.52,-31.46, 
53008,1465889120, 7:25:20,31,640,640,661,0.61,31.28,31.28,-31.76, 
54009,1465889121, 7:25:21,7,647,616,647,0.14,31.62,30.11,31.62, 
55008,1465889122, 7:25:22,31,643,610,639,0.61,31.43,29.81,31.23, 
56008,1465889123, 7:25:23,16,616,611,655,0.31,30.11,29.86,32.01, 
57008,1465889124, 7:25:24,0,704,600,623,0,-29.65,29.33,30.45, 
58008,1465889125, 7:25:25,15,612,593,629,0.29,29.91,28.98,30.74, 
59009,1465889126, 7:25:26,4,607,613,680,0.08,29.67,29.96,-30.83, 
60009,1465889127, 7:25:27,0,672,572,593,0,-31.22,27.96,28.98, 
61009,1465889128, 7:25:28,8,591,607,648,0.16,28.89,29.67,31.67, 
62009,1465889129, 7:25:29,4,554,569,656,0.08,27.08,27.81,-32, 
