millis,Date,Time,Sensor1,Sensor2,Sensor3,Trigger,Sensor1 Amps,Sensor2 Amps,Sensor3 Amps,Trigger amps
502, 1472478777, 13:52:57, 8, 1, 0, 0, 0.16, 0.02, 0.00, 0.00, 
1002, 1472478778, 13:52:58, 4, 2, 0, 0, 0.08, 0.04, 0.00, 0.00, 
1502, 1472478778, 13:52:58, 3, 8, 0, 0, 0.06, 0.16, 0.00, 0.00, 
2002, 1472478779, 13:52:59, 8, 3, 0, 0, 0.16, 0.06, 0.00, 0.00, 
2502, 1472478779, 13:52:59, 4, 9, 0, 1, 0.08, 0.18, 0.00, 0.02, 
3002, 1472478780, 13:53:0, 4, 1, 0, 0, 0.08, 0.02, 0.00, 0.00, 
3502, 1472478780, 13:53:0, 8, 1, 0, 0, 0.16, 0.02, 0.00, 0.00, 
4002, 1472478781, 13:53:1, 1, 8, 0, 0, 0.02, 0.16, 0.00, 0.00, 
4502, 1472478781, 13:53:1, 1, 8, 0, 0, 0.02, 0.16, 0.00, 0.00, 
5002, 1472478782, 13:53:2, 1, 8, 0, 0, 0.02, 0.16, 0.00, 0.00, 
5502, 1472478782, 13:53:2, 1, 8, 0, 0, 0.02, 0.16, 0.00, 0.00, 
6002, 1472478783, 13:53:3, 2, 8, 0, 0, 0.04, 0.16, 0.00, 0.00, 
6502, 1472478783, 13:53:3, 4, 0, 1, 0, 0.08, 0.00, 0.02, 0.00, 
7002, 1472478784, 13:53:4, 4, 5, 0, 1, 0.08, 0.10, 0.00, 0.02, 
7502, 1472478784, 13:53:4, 4, 4, 0, 0, 0.08, 0.08, 0.00, 0.00, 
8002, 1472478785, 13:53:5, 4, 4, 1, 0, 0.08, 0.08, 0.02, 0.00, 
8502, 1472478785, 13:53:5, 0, 8, 0, 0, 0.00, 0.16, 0.00, 0.00, 
9003, 1472478786, 13:53:6, 0, 1, 0, 0, 0.00, 0.02, 0.00, 0.00, 
9502, 1472478786, 13:53:6, 0, 4, 0, 1, 0.00, 0.08, 0.00, 0.02, 
10002, 1472478787, 13:53:7, 4, 1, 0, 0, 0.08, 0.02, 0.00, 0.00, 
10502, 1472478787, 13:53:7, 1, 8, 0, 0, 0.02, 0.16, 0.00, 0.00, 
11002, 1472478788, 13:53:8, 3, 8, 0, 0, 0.06, 0.16, 0.00, 0.00, 
11502, 1472478788, 13:53:8, 392, 364, 368, 360, 7.66, 7.12, 7.19, 7.04, 
12002, 1472478789, 13:53:9, 416, 387, 392, 380, 8.13, 7.57, 7.66, 7.43, 
12503, 1472478789, 13:53:9, 427, 396, 382, 396, 8.35, 7.74, 7.47, 7.74, 
13002, 1472478790, 13:53:10, 428, 396, 387, 393, 8.37, 7.74, 7.57, 7.68, 
13502, 1472478790, 13:53:10, 863, 848, 879, 848, 16.87, 16.58, 17.18, 16.58, 
14002, 1472478791, 13:53:11, 590, 557, 561, 571, 11.53, 10.89, 10.97, 11.16, 
14502, 1472478791, 13:53:11, 512, 499, 499, 515, 10.01, 9.76, 9.76, 10.07, 
15002, 1472478792, 13:53:12, 514, 479, 505, 496, 10.05, 9.36, 9.87, 9.70, 
15502, 1472478792, 13:53:12, 517, 486, 486, 502, 10.11, 9.50, 9.50, 9.81, 
16002, 1472478793, 13:53:13, 928, 918, 927, 179, 18.14, 17.95, 18.12, 3.50, 
16502, 1472478793, 13:53:13, 534, 507, 541, 111, 10.44, 9.91, 10.58, 2.17, 
17002, 1472478794, 13:53:14, 320, 262, 324, 95, 6.26, 5.12, 6.33, 1.86, 
17502, 1472478794, 13:53:14, 270, 228, 276, 113, 5.28, 4.46, 5.40, 2.21, 
18002, 1472478795, 13:53:15, 702, 659, 676, 659, 13.72, 12.88, 13.22, 12.88, 
18502, 1472478795, 13:53:15, 206, 201, 191, 195, 4.03, 3.93, 3.73, 3.81, 
19002, 1472478796, 13:53:16, 35, 48, 31, 48, 0.68, 0.94, 0.61, 0.94, 
19502, 1472478796, 13:53:16, 16, 12, 9, 16, 0.31, 0.23, 0.18, 0.31, 
20002, 1472478797, 13:53:17, 8, 2, 8, 4, 0.16, 0.04, 0.16, 0.08, 
20502, 1472478797, 13:53:17, 4, 5, 0, 1, 0.08, 0.10, 0.00, 0.02, 
21002, 1472478798, 13:53:18, 4, 1, 0, 0, 0.08, 0.02, 0.00, 0.00, 
21502, 1472478798, 13:53:18, 3, 8, 0, 0, 0.06, 0.16, 0.00, 0.00, 
22002, 1472478799, 13:53:19, 1, 8, 0, 0, 0.02, 0.16, 0.00, 0.00, 
22502, 1472478799, 13:53:19, 4, 5, 0, 1, 0.08, 0.10, 0.00, 0.02, 
23002, 1472478800, 13:53:20, 0, 0, 1, 0, 0.00, 0.00, 0.02, 0.00, 
23502, 1472478800, 13:53:20, 0, 4, 0, 1, 0.00, 0.08, 0.00, 0.02, 
24002, 1472478801, 13:53:21, 4, 1, 0, 0, 0.08, 0.02, 0.00, 0.00, 
