millis,Date,Time,Sensor1,Sensor2,Sensor3,Trigger,Sensor1 Amps,Sensor2 Amps,Sensor3 Amps,Trigger amps
502, 1472628970, 7:36:10, 8, 2, 0, 0, 0.16, 0.04, 0.00, 0.00, 
1002, 1472628971, 7:36:11, 8, 2, 0, 0, 0.16, 0.04, 0.00, 0.00, 
1502, 1472628971, 7:36:11, 2, 8, 0, 1, 0.04, 0.16, 0.00, 0.02, 
2002, 1472628972, 7:36:12, 1, 8, 1, 0, 0.02, 0.16, 0.02, 0.00, 
2502, 1472628972, 7:36:12, 8, 2, 0, 0, 0.16, 0.04, 0.00, 0.00, 
3002, 1472628973, 7:36:13, 1, 8, 1, 0, 0.02, 0.16, 0.02, 0.00, 
3502, 1472628973, 7:36:13, 4, 5, 0, 1, 0.08, 0.10, 0.00, 0.02, 
4002, 1472628974, 7:36:14, 4, 1, 0, 1, 0.08, 0.02, 0.00, 0.02, 
4502, 1472628974, 7:36:14, 1, 8, 0, 0, 0.02, 0.16, 0.00, 0.00, 
5002, 1472628975, 7:36:15, 4, 1, 0, 1, 0.08, 0.02, 0.00, 0.02, 
5502, 1472628975, 7:36:15, 8, 4, 0, 0, 0.16, 0.08, 0.00, 0.00, 
6002, 1472628976, 7:36:16, 0, 5, 0, 1, 0.00, 0.10, 0.00, 0.02, 
6502, 1472628976, 7:36:16, 8, 0, 0, 0, 0.16, 0.00, 0.00, 0.00, 
7002, 1472628977, 7:36:17, 4, 4, 1, 0, 0.08, 0.08, 0.02, 0.00, 
7502, 1472628977, 7:36:17, 4, 9, 0, 1, 0.08, 0.18, 0.00, 0.02, 
8002, 1472628978, 7:36:18, 4, 4, 0, 0, 0.08, 0.08, 0.00, 0.00, 
8502, 1472628978, 7:36:18, 0, 8, 0, 0, 0.00, 0.16, 0.00, 0.00, 
9003, 1472628979, 7:36:19, 4, 1, 0, 1, 0.08, 0.02, 0.00, 0.02, 
9502, 1472628979, 7:36:19, 1, 8, 1, 0, 0.02, 0.16, 0.02, 0.00, 
10002, 1472628980, 7:36:20, 8, 2, 0, 0, 0.16, 0.04, 0.00, 0.00, 
10502, 1472628980, 7:36:20, 1, 8, 0, 0, 0.02, 0.16, 0.00, 0.00, 
11002, 1472628981, 7:36:21, 4, 5, 0, 1, 0.08, 0.10, 0.00, 0.02, 
11502, 1472628981, 7:36:21, 8, 1, 0, 1, 0.16, 0.02, 0.00, 0.02, 
12002, 1472628982, 7:36:22, 4, 8, 0, 1, 0.08, 0.16, 0.00, 0.02, 
12503, 1472628982, 7:36:22, 1, 8, 0, 0, 0.02, 0.16, 0.00, 0.00, 
13002, 1472628983, 7:36:23, 4, 4, 1, 0, 0.08, 0.08, 0.02, 0.00, 
13502, 1472628983, 7:36:23, 4, 4, 0, 0, 0.08, 0.08, 0.00, 0.00, 
14002, 1472628984, 7:36:24, 1, 8, 1, 0, 0.02, 0.16, 0.02, 0.00, 
14502, 1472628984, 7:36:24, 4, 4, 1, 0, 0.08, 0.08, 0.02, 0.00, 
15002, 1472628985, 7:36:25, 8, 1, 0, 0, 0.16, 0.02, 0.00, 0.00, 
15502, 1472628985, 7:36:25, 4, 1, 0, 1, 0.08, 0.02, 0.00, 0.02, 
16002, 1472628986, 7:36:26, 65, 60, 39, 56, 1.27, 1.17, 0.76, 1.09, 
16502, 1472628986, 7:36:26, 16, 7, 16, 6, 0.31, 0.14, 0.31, 0.12, 
17002, 1472628987, 7:36:27, 152, 142, 137, 127, 2.97, 2.78, 2.68, 2.48, 
17502, 1472628987, 7:36:27, 19, 32, 3, 24, 0.37, 0.63, 0.06, 0.47, 
18002, 1472628988, 7:36:28, 3, 8, 0, 8, 0.06, 0.16, 0.00, 0.16, 
18502, 1472628988, 7:36:28, 8, 2, 0, 0, 0.16, 0.04, 0.00, 0.00, 
19002, 1472628989, 7:36:29, 8, 4, 0, 0, 0.16, 0.08, 0.00, 0.00, 
19502, 1472628989, 7:36:29, 8, 2, 0, 0, 0.16, 0.04, 0.00, 0.00, 
20002, 1472628990, 7:36:30, 1, 8, 0, 0, 0.02, 0.16, 0.00, 0.00, 
20502, 1472628990, 7:36:30, 4, 8, 0, 1, 0.08, 0.16, 0.00, 0.02, 
21002, 1472628991, 7:36:31, 4, 2, 0, 0, 0.08, 0.04, 0.00, 0.00, 
21502, 1472628991, 7:36:31, 1, 8, 1, 0, 0.02, 0.16, 0.02, 0.00, 
22002, 1472628992, 7:36:32, 5, 8, 1, 0, 0.10, 0.16, 0.02, 0.00, 
22502, 1472628992, 7:36:32, 4, 4, 1, 0, 0.08, 0.08, 0.02, 0.00, 
23002, 1472628993, 7:36:33, 4, 3, 0, 0, 0.08, 0.06, 0.00, 0.00, 
23502, 1472628993, 7:36:33, 5, 8, 1, 0, 0.10, 0.16, 0.02, 0.00, 
24002, 1472628994, 7:36:34, 8, 0, 0, 0, 0.16, 0.00, 0.00, 0.00, 
24502, 1472628994, 7:36:34, 8, 2, 0, 0, 0.16, 0.04, 0.00, 0.00, 
25003, 1472628995, 7:36:35, 4, 4, 1, 0, 0.08, 0.08, 0.02, 0.00, 
25502, 1472628995, 7:36:35, 4, 4, 0, 0, 0.08, 0.08, 0.00, 0.00, 
26002, 1472628996, 7:36:36, 8, 2, 0, 0, 0.16, 0.04, 0.00, 0.00, 
26502, 1472628996, 7:36:36, 0, 8, 0, 1, 0.00, 0.16, 0.00, 0.02, 
27002, 1472628997, 7:36:37, 4, 1, 0, 0, 0.08, 0.02, 0.00, 0.00, 
27502, 1472628997, 7:36:37, 4, 8, 0, 1, 0.08, 0.16, 0.00, 0.02, 
28002, 1472628998, 7:36:38, 1, 8, 0, 0, 0.02, 0.16, 0.00, 0.00, 
28503, 1472628998, 7:36:38, 8, 2, 0, 0, 0.16, 0.04, 0.00, 0.00, 
29002, 1472628999, 7:36:39, 1, 8, 0, 0, 0.02, 0.16, 0.00, 0.00, 
29502, 1472628999, 7:36:39, 0, 8, 0, 0, 0.00, 0.16, 0.00, 0.00, 
30002, 1472629000, 7:36:40, 4, 4, 1, 0, 0.08, 0.08, 0.02, 0.00, 
30502, 1472629000, 7:36:40, 1, 8, 0, 0, 0.02, 0.16, 0.00, 0.00, 
31002, 1472629001, 7:36:41, 4, 4, 1, 0, 0.08, 0.08, 0.02, 0.00, 
31502, 1472629001, 7:36:41, 0, 8, 0, 1, 0.00, 0.16, 0.00, 0.02, 
32002, 1472629002, 7:36:42, 8, 3, 0, 0, 0.16, 0.06, 0.00, 0.00, 
32502, 1472629002, 7:36:42, 8, 4, 0, 0, 0.16, 0.08, 0.00, 0.00, 
33002, 1472629003, 7:36:43, 0, 8, 0, 0, 0.00, 0.16, 0.00, 0.00, 
33502, 1472629003, 7:36:43, 4, 8, 0, 1, 0.08, 0.16, 0.00, 0.02, 
34002, 1472629004, 7:36:44, 8, 2, 0, 0, 0.16, 0.04, 0.00, 0.00, 
34502, 1472629004, 7:36:44, 5, 8, 1, 0, 0.10, 0.16, 0.02, 0.00, 
35002, 1472629005, 7:36:45, 4, 1, 0, 1, 0.08, 0.02, 0.00, 0.02, 
35502, 1472629005, 7:36:45, 4, 1, 0, 1, 0.08, 0.02, 0.00, 0.02, 
36002, 1472629006, 7:36:46, 8, 2, 0, 0, 0.16, 0.04, 0.00, 0.00, 
36502, 1472629006, 7:36:46, 4, 4, 1, 0, 0.08, 0.08, 0.02, 0.00, 
37002, 1472629007, 7:36:47, 4, 4, 1, 0, 0.08, 0.08, 0.02, 0.00, 
37502, 1472629007, 7:36:47, 3, 8, 1, 0, 0.06, 0.16, 0.02, 0.00, 
38002, 1472629008, 7:36:48, 8, 2, 0, 0, 0.16, 0.04, 0.00, 0.00, 
38502, 1472629008, 7:36:48, 8, 2, 0, 0, 0.16, 0.04, 0.00, 0.00, 
39002, 1472629009, 7:36:49, 8, 2, 0, 0, 0.16, 0.04, 0.00, 0.00, 
39502, 1472629009, 7:36:49, 4, 4, 1, 0, 0.08, 0.08, 0.02, 0.00, 
40002, 1472629010, 7:36:50, 4, 8, 0, 1, 0.08, 0.16, 0.00, 0.02, 
40502, 1472629010, 7:36:50, 5, 8, 1, 0, 0.10, 0.16, 0.02, 0.00, 
41003, 1472629011, 7:36:51, 1, 8, 0, 0, 0.02, 0.16, 0.00, 0.00, 
41502, 1472629011, 7:36:51, 1, 8, 0, 0, 0.02, 0.16, 0.00, 0.00, 
42002, 1472629012, 7:36:52, 2, 8, 0, 0, 0.04, 0.16, 0.00, 0.00, 
42502, 1472629012, 7:36:52, 8, 4, 1, 0, 0.16, 0.08, 0.02, 0.00, 
43002, 1472629013, 7:36:53, 1, 8, 0, 0, 0.02, 0.16, 0.00, 0.00, 
43502, 1472629013, 7:36:53, 8, 4, 0, 0, 0.16, 0.08, 0.00, 0.00, 
44002, 1472629014, 7:36:54, 8, 1, 0, 0, 0.16, 0.02, 0.00, 0.00, 
44503, 1472629014, 7:36:54, 8, 4, 0, 0, 0.16, 0.08, 0.00, 0.00, 
45002, 1472629015, 7:36:55, 4, 4, 0, 0, 0.08, 0.08, 0.00, 0.00, 
45502, 1472629015, 7:36:55, 0, 8, 0, 0, 0.00, 0.16, 0.00, 0.00, 
46002, 1472629016, 7:36:56, 1, 8, 0, 0, 0.02, 0.16, 0.00, 0.00, 
46502, 1472629016, 7:36:56, 8, 2, 0, 0, 0.16, 0.04, 0.00, 0.00, 
47002, 1472629017, 7:36:57, 4, 5, 0, 1, 0.08, 0.10, 0.00, 0.02, 
47502, 1472629017, 7:36:57, 3, 8, 1, 0, 0.06, 0.16, 0.02, 0.00, 
48002, 1472629018, 7:36:58, 0, 8, 0, 0, 0.00, 0.16, 0.00, 0.00, 
48502, 1472629018, 7:36:58, 5, 8, 1, 0, 0.10, 0.16, 0.02, 0.00, 
49002, 1472629019, 7:36:59, 5, 8, 1, 0, 0.10, 0.16, 0.02, 0.00, 
49502, 1472629019, 7:36:59, 2, 8, 0, 0, 0.04, 0.16, 0.00, 0.00, 
50002, 1472629020, 7:37:0, 8, 2, 0, 0, 0.16, 0.04, 0.00, 0.00, 
50502, 1472629020, 7:37:0, 8, 2, 0, 0, 0.16, 0.04, 0.00, 0.00, 
51002, 1472629021, 7:37:1, 0, 8, 0, 1, 0.00, 0.16, 0.00, 0.02, 
51502, 1472629021, 7:37:1, 4, 4, 0, 0, 0.08, 0.08, 0.00, 0.00, 
52002, 1472629022, 7:37:2, 4, 1, 0, 1, 0.08, 0.02, 0.00, 0.02, 
52502, 1472629022, 7:37:2, 8, 4, 1, 0, 0.16, 0.08, 0.02, 0.00, 
53002, 1472629023, 7:37:3, 4, 4, 0, 0, 0.08, 0.08, 0.00, 0.00, 
53502, 1472629023, 7:37:3, 0, 8, 0, 1, 0.00, 0.16, 0.00, 0.02, 
54002, 1472629024, 7:37:4, 4, 3, 0, 0, 0.08, 0.06, 0.00, 0.00, 
54502, 1472629024, 7:37:4, 1, 8, 0, 0, 0.02, 0.16, 0.00, 0.00, 
55002, 1472629025, 7:37:5, 4, 5, 0, 1, 0.08, 0.10, 0.00, 0.02, 
