millis,Date,Time,Sensor1,Sensor2,Sensor3,Trigger,Sensor1 Amps,Sensor2 Amps,Sensor3 Amps,Trigger amps
502, 1472054563, 16:2:43, 15, 62, 0, 0, 0.29, 1.21, 0.00, 0.00, 
1002, 1472054563, 16:2:43, 0, 1, 0, 0, 0.00, 0.02, 0.00, 0.00, 
1502, 1472054564, 16:2:44, 0, 1, 0, 0, 0.00, 0.02, 0.00, 0.00, 
2002, 1472054564, 16:2:44, 3, 8, 0, 0, 0.06, 0.16, 0.00, 0.00, 
2502, 1472054565, 16:2:45, 0, 8, 1, 0, 0.00, 0.16, 0.02, 0.00, 
3002, 1472054565, 16:2:45, 0, 1, 0, 0, 0.00, 0.02, 0.00, 0.00, 
3502, 1472054566, 16:2:46, 3, 0, 0, 3, 0.06, 0.00, 0.00, 0.06, 
4002, 1472054566, 16:2:46, 0, 1, 0, 1, 0.00, 0.02, 0.00, 0.02, 
4502, 1472054567, 16:2:47, 0, 3, 0, 0, 0.00, 0.06, 0.00, 0.00, 
5002, 1472054567, 16:2:47, 0, 4, 1, 0, 0.00, 0.08, 0.02, 0.00, 
5502, 1472054568, 16:2:48, 0, 4, 0, 3, 0.00, 0.08, 0.00, 0.06, 
6002, 1472054568, 16:2:48, 4, 3, 0, 0, 0.08, 0.06, 0.00, 0.00, 
6502, 1472054569, 16:2:49, 0, 4, 3, 0, 0.00, 0.08, 0.06, 0.00, 
7002, 1472054569, 16:2:49, 0, 3, 0, 0, 0.00, 0.06, 0.00, 0.00, 
7502, 1472054570, 16:2:50, 4, 3, 0, 0, 0.08, 0.06, 0.00, 0.00, 
8002, 1472054570, 16:2:50, 0, 2, 0, 0, 0.00, 0.04, 0.00, 0.00, 
8502, 1472054571, 16:2:51, 0, 1, 0, 0, 0.00, 0.02, 0.00, 0.00, 
9003, 1472054571, 16:2:51, 3, 0, 0, 1, 0.06, 0.00, 0.00, 0.02, 
9502, 1472054572, 16:2:52, 0, 4, 0, 1, 0.00, 0.08, 0.00, 0.02, 
10002, 1472054572, 16:2:52, 0, 4, 1, 0, 0.00, 0.08, 0.02, 0.00, 
10502, 1472054573, 16:2:53, 3, 0, 0, 1, 0.06, 0.00, 0.00, 0.02, 
11002, 1472054573, 16:2:53, 0, 3, 0, 0, 0.00, 0.06, 0.00, 0.00, 
11502, 1472054574, 16:2:54, 0, 3, 0, 0, 0.00, 0.06, 0.00, 0.00, 
12002, 1472054574, 16:2:54, 0, 4, 0, 2, 0.00, 0.08, 0.00, 0.04, 
12503, 1472054575, 16:2:55, 0, 8, 3, 0, 0.00, 0.16, 0.06, 0.00, 
13002, 1472054575, 16:2:55, 1, 0, 0, 0, 0.02, 0.00, 0.00, 0.00, 
13502, 1472054576, 16:2:56, 3, 0, 0, 1, 0.06, 0.00, 0.00, 0.02, 
14002, 1472054576, 16:2:56, 0, 1, 0, 0, 0.00, 0.02, 0.00, 0.00, 
14502, 1472054577, 16:2:57, 0, 4, 0, 1, 0.00, 0.08, 0.00, 0.02, 
15002, 1472054577, 16:2:57, 3, 8, 0, 1, 0.06, 0.16, 0.00, 0.02, 
15502, 1472054578, 16:2:58, 3, 0, 0, 3, 0.06, 0.00, 0.00, 0.06, 
16002, 1472054578, 16:2:58, 0, 3, 0, 0, 0.00, 0.06, 0.00, 0.00, 
